Vorderseite;Rückseite
"```java<br>int[] arr = {7, 3, 5, 9};<br>int res = arr[0] - arr[1] + arr[2] * arr[3];<br>System.out.println(res);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={7,3,5,9}] --> B[res = arr[0] - arr[1] + arr[2] * arr[3]]<br>    B --> C[print res]</div><br><br><strong>Output:</strong> <code>49</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>Schritt</th><th>res</th></tr><tr><td>1</td><td>7-3+5*9=49</td></tr></table>"
"```java<br>int[] arr = {12, 14, 16, 28};<br>for (int i = 0; i < arr.length; i++) {<br> arr[3] -= arr[i];<br>}<br>System.out.println(arr[3]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={12,14,16,28}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[3] -= arr[i]]<br>    C --> B<br>    B --> D[print arr[3]]</div><br><br><strong>Output:</strong> <code>0</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>arr[3]</th></tr><tr><td>0</td><td>12</td><td>16</td></tr><tr><td>1</td><td>14</td><td>2</td></tr><tr><td>2</td><td>16</td><td>-14</td></tr><tr><td>3</td><td>-14</td><td>0</td></tr></table>"
"```java<br>int[] arr = {1, 3, 5, 7};<br>for (int i = 1; i < arr.length; i+=2) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=1] --> B[i < arr.length?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i += 2]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>37</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>1</td><td>3</td><td><code>3</code></td></tr><tr><td>3</td><td>7</td><td><code>7</code></td></tr></table>"
"```java<br>int[] arr = {10, 20, 30, 40};<br>System.out.println(arr[arr[0]/10]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={10,20,30,40}] --> B[arr[0]/10=1]<br>    B --> C[print arr[1]]</div><br><br><strong>Output:</strong> <code>20</code> | <strong>Index:</strong> <code>2</code>"
"```java<br>int[] arr = {2, 4, 6, 8};<br>int sum = 0;<br>for (int i = 0; i < arr.length; i++) {<br> if (arr[i] % 4 == 0) sum += arr[i];<br>}<br>System.out.println(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C{arr[i] % 4 == 0?}<br>    C -- ja --> D[sum += arr[i]]<br>    C -- nein --> B<br>    D --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>12</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>%4</th><th>sum</th></tr><tr><td>0</td><td>2</td><td>2</td><td>0</td></tr><tr><td>1</td><td>4</td><td>0</td><td>4</td></tr><tr><td>2</td><td>6</td><td>2</td><td>4</td></tr><tr><td>3</td><td>8</td><td>0</td><td>12</td></tr></table>"
"```java<br>int[] arr = {0, 1, 2, 3};<br>for (int i = arr.length - 1; i >= 0; i--) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=arr.length-1] --> B[i >= 0?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i--]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>3210</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>3</td><td>3</td><td><code>3</code></td></tr><tr><td>2</td><td>2</td><td><code>2</code></td></tr><tr><td>1</td><td>1</td><td><code>1</code></td></tr><tr><td>0</td><td>0</td><td><code>0</code></td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4};<br>System.out.println(arr[1] * arr[3]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={1,2,3,4}] --> B[print arr[1] * arr[3]]</div><br><br><strong>Output:</strong> <code>8</code> | <strong>Index:</strong> <code>1</code>"
"```java<br>int[] arr = {2, 4, 8};<br>for (int i = 0; i < arr.length; i++) {<br> arr[i] = arr[i] / 2;<br>}<br>System.out.println(arr[2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={2,4,8}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[i] = arr[i]/2]<br>    C --> B<br>    B --> D[print arr[2]]</div><br><br><strong>Output:</strong> <code>4</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>arr nach</th></tr><tr><td>0</td><td>2</td><td>{1,4,8}</td></tr><tr><td>1</td><td>4</td><td>{1,2,8}</td></tr><tr><td>2</td><td>8</td><td>{1,2,4}</td></tr></table>"
"```java<br>int[] arr = {5, 7, 9};<br>arr[2] = arr[0] + arr[1];<br>System.out.println(arr[2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={5,7,9}] --> B[arr[2] = arr[0] + arr[1]]<br>    B --> C[print arr[2]]</div><br><br><strong>Output:</strong> <code>12</code> | <strong>Index:</strong> <code>3</code>"
"```java<br>int[] arr = {1, 2, 3, 4, 5};<br>for (int i = 0; i < arr.length; i += 2) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=0] --> B[i < arr.length?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i += 2]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>135</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>2</td><td>3</td><td><code>3</code></td></tr><tr><td>4</td><td>5</td><td><code>5</code></td></tr></table>"
"```java<br>int[] arr = {4, 8, 12};<br>int res = 1;<br>for (int i = 0; i < arr.length; i++) {<br> res *= arr[i] / 4;<br>}<br>System.out.println(res);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: res=1] --> B[i=0 to arr.length-1]<br>    B --> C[res *= arr[i]/4]<br>    C --> B<br>    B --> D[print res]</div><br><br><strong>Output:</strong> <code>6</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>res</th></tr><tr><td>0</td><td>4</td><td>1</td></tr><tr><td>1</td><td>8</td><td>2</td></tr><tr><td>2</td><td>12</td><td>6</td></tr></table>"
"```java<br>int[] arr = {2, 4, 8, 16};<br>System.out.println(arr[arr[1]/2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={2,4,8,16}] --> B[arr[1]/2=2]<br>    B --> C[print arr[2]]</div><br><br><strong>Output:</strong> <code>8</code> | <strong>Index:</strong> <code>3</code>"
"```java<br>int[] arr = {3, 6, 9};<br>for (int i = 0; i < arr.length; i++) {<br> arr[0] += arr[i];<br>}<br>System.out.println(arr[0]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={3,6,9}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[0] += arr[i]]<br>    C --> B<br>    B --> D[print arr[0]]</div><br><br><strong>Output:</strong> <code>21</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>arr[0]</th></tr><tr><td>0</td><td>3</td><td>6</td></tr><tr><td>1</td><td>6</td><td>12</td></tr><tr><td>2</td><td>9</td><td>21</td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4};<br>for (int i = arr.length - 1; i >= 0; i -= 2) {<br> System.out.print(arr[i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=arr.length-1] --> B[i >= 0?]<br>    B -- ja --> C[print arr[i]]<br>    C --> D[i -= 2]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>42</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>print</th></tr><tr><td>3</td><td>4</td><td><code>4</code></td></tr><tr><td>1</td><td>2</td><td><code>2</code></td></tr></table>"
"```java<br>int[] arr = {1, 3, 5, 7};<br>int sum = 0;<br>for (int i = 0; i < arr.length; i++) {<br> if (arr[i] % 2 == 1) sum += arr[i];<br>}<br>System.out.println(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C{arr[i] % 2 == 1?}<br>    C -- ja --> D[sum += arr[i]]<br>    C -- nein --> B<br>    D --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>16</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>%2</th><th>sum</th></tr><tr><td>0</td><td>1</td><td>1</td><td>1</td></tr><tr><td>1</td><td>3</td><td>1</td><td>4</td></tr><tr><td>2</td><td>5</td><td>1</td><td>9</td></tr><tr><td>3</td><td>7</td><td>1</td><td>16</td></tr></table>"
"```java<br>int[] arr = {5, 10, 15};<br>for (int i = 0; i < arr.length; i++) {<br> arr[i] -= 5;<br>}<br>System.out.println(arr[2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={5,10,15}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[i] -= 5]<br>    C --> B<br>    B --> D[print arr[2]]</div><br><br><strong>Output:</strong> <code>10</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>arr nach</th></tr><tr><td>0</td><td>5</td><td>{0,10,15}</td></tr><tr><td>1</td><td>10</td><td>{0,5,15}</td></tr><tr><td>2</td><td>15</td><td>{0,5,10}</td></tr></table>"
"```java<br>int[] arr = {2, 3, 5, 7};<br>int sum = 0;<br>for (int i = 0; i < arr.length; i++) {<br> if (arr[i] > 4) sum += arr[i];<br>}<br>System.out.println(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C{arr[i] > 4?}<br>    C -- ja --> D[sum += arr[i]]<br>    C -- nein --> B<br>    D --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>12</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>arr[i]</th><th>sum</th></tr><tr><td>0</td><td>2</td><td>0</td></tr><tr><td>1</td><td>3</td><td>0</td></tr><tr><td>2</td><td>5</td><td>5</td></tr><tr><td>3</td><td>7</td><td>12</td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4};<br>for (int i = 0; i < arr.length; i++) {<br> System.out.print(arr[arr.length - 1 - i]);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: i=0] --> B[i < arr.length?]<br>    B -- ja --> C[print arr[arr.length-1-i]]<br>    C --> D[i++]<br>    D --> B<br>    B -- nein --> E[Ende]</div><br><br><strong>Output:</strong> <code>4321</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>arr.length-1-i</th><th>arr[...]</th><th>print</th></tr><tr><td>0</td><td>3</td><td>4</td><td><code>4</code></td></tr><tr><td>1</td><td>2</td><td>3</td><td><code>3</code></td></tr><tr><td>2</td><td>1</td><td>2</td><td><code>2</code></td></tr><tr><td>3</td><td>0</td><td>1</td><td><code>1</code></td></tr></table>"
"```java<br>int[] arr = {1, 2, 3, 4};<br>for (int i = 0; i < arr.length; i++) {<br> arr[2] += i;<br>}<br>System.out.println(arr[2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={1,2,3,4}] --> B[i=0 to arr.length-1]<br>    B --> C[arr[2] += i]<br>    C --> B<br>    B --> D[print arr[2]]</div><br><br><strong>Output:</strong> <code>9</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>arr[2]</th></tr><tr><td>0</td><td>3</td></tr><tr><td>1</td><td>4</td></tr><tr><td>2</td><td>6</td></tr><tr><td>3</td><td>9</td></tr></table>"
"```java<br>int[] arr = {1, 2, 3};<br>for (int i = 0; i < arr.length; i++) {<br> System.out.print(--arr[i] * arr[i]--);<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={1,2,3}] --> B[i=0 to arr.length-1]<br>    B --> C[print --arr[i] * arr[i]--]<br>    C --> B<br>    B --> D[Ende]</div><br><br><strong>Output:</strong> <code>014</code> | <strong>Index:</strong> <code>1</code><br><br><table><tr><th>i</th><th>--arr[i]</th><th>arr[i]--</th><th>print</th><th>arr nach</th></tr><tr><td>0</td><td>0</td><td>0</td><td><code>0</code></td><td>{-1,2,3}</td></tr><tr><td>1</td><td>1</td><td>1</td><td><code>1</code></td><td>{-1,0,3}</td></tr><tr><td>2</td><td>2</td><td>2</td><td><code>4</code></td><td>{-1,0,1}</td></tr></table>"